x_H_1,x_H_2,xt,x_G
0.116865985,0.32699588,0.25630164,0.29983646
0.11698751,0.33153558,0.2527989,0.29867804
0.119388156,0.33012164,0.25051326,0.29997703
0.1210072,0.3313866,0.2485456,0.29906058
0.118796125,0.33085185,0.25690368,0.29344836
0.11929201,0.32605335,0.25528353,0.29937106
0.11911582,0.32929474,0.25662354,0.29496595
0.12185162,0.32988667,0.25278276,0.29547897
0.118805006,0.33123234,0.2512853,0.29867733
0.1184533,0.32792723,0.25181618,0.30180317
0.12007825,0.33382672,0.25194204,0.29415298
0.119829535,0.33065137,0.24572621,0.30379298
0.11513828,0.3343615,0.24990271,0.30059746
0.11515084,0.34164336,0.24320483,0.3000009
0.12015631,0.33160397,0.25079286,0.29744688
0.12183459,0.3347919,0.2456145,0.29775897
0.120243005,0.33919376,0.2476795,0.29288378
0.12191757,0.33516604,0.24430816,0.2986083
0.11796109,0.33194137,0.24527995,0.30481762
0.1203782,0.337893,0.24371816,0.29801065
0.11776477,0.33843958,0.24216498,0.30163068
0.11727222,0.3328032,0.24639684,0.30352768
0.118649475,0.33596864,0.24482498,0.3005569
0.11599893,0.3372513,0.24152285,0.30522692
0.114637636,0.33010176,0.24677755,0.30848306
0.11718045,0.33025283,0.24494106,0.30762568
0.116691045,0.33546376,0.242085,0.30576026
0.11618767,0.33406284,0.23979402,0.3099555
0.112946674,0.33625522,0.24078077,0.31001726
0.11146432,0.34063667,0.23771428,0.31018478
0.11399683,0.3313936,0.24052778,0.31408176
0.112570636,0.34158275,0.2335874,0.31225914
0.11343307,0.34043565,0.2360914,0.31003988
0.112187296,0.3386944,0.23651148,0.31260678
0.112907656,0.34334677,0.232454,0.3112916
0.113021255,0.33967754,0.235481,0.31182024
0.11271756,0.3455987,0.23464946,0.3070344
0.11557427,0.34690982,0.22477072,0.31274515
0.12488066,0.33890063,0.21632294,0.31989574
0.12523465,0.33284414,0.21896945,0.3229517
0.120992854,0.32451776,0.22360502,0.33088443
0.12394772,0.33549148,0.22255714,0.3180036
0.118551,0.33315098,0.218895,0.32940304
0.12047832,0.33506244,0.2190085,0.32545075
0.119459085,0.3396058,0.21921913,0.32171607
0.11992222,0.33771753,0.22109891,0.32126135
0.11809491,0.34058315,0.22033067,0.32099128
0.11496737,0.33662075,0.2268558,0.3215561
0.12022997,0.3388963,0.22092305,0.3199506
0.1152587,0.34087235,0.22046745,0.32340148
0.11328018,0.33970398,0.22181952,0.32519636
0.11390987,0.33920127,0.22056374,0.32632515
0.11528294,0.33987927,0.21870081,0.32613692
0.11387841,0.3399042,0.22117741,0.32504007
0.11664785,0.34259653,0.22020493,0.32055074
0.118758604,0.33977187,0.2120902,0.32937944
0.11896317,0.3340145,0.211753,0.33526945
0.11994984,0.33627164,0.21020214,0.33357644
0.12634747,0.33104718,0.21262781,0.32997763
0.12900805,0.32155693,0.21384457,0.33559045
0.12459373,0.32461113,0.21299776,0.33779737
0.124855444,0.3328534,0.21108451,0.33120653
0.12313919,0.3380727,0.20763384,0.33115435
0.11933371,0.33675307,0.21466152,0.32925165
0.11857466,0.3349164,0.21313749,0.33337146
0.12121277,0.33447778,0.21621922,0.32809028
0.11862402,0.3353446,0.21572779,0.33030355
0.114103265,0.33546168,0.20921315,0.34122196
0.11683554,0.33726963,0.21113421,0.33476064
0.113179184,0.34443063,0.20879926,0.33359092
0.116239585,0.3396131,0.20866726,0.33548012
0.11603135,0.34087956,0.2088143,0.33427477
0.11314446,0.34356585,0.21163902,0.3316507
0.109594926,0.34353867,0.20659468,0.34027165
0.109081045,0.34137407,0.20651819,0.34302676
0.110516906,0.34505975,0.20907198,0.33535132
0.110407,0.34660238,0.20758203,0.33540857
0.11062822,0.35058033,0.20748013,0.3313113
0.10445156,0.35364136,0.20584433,0.33606267
0.10811695,0.34996188,0.20723212,0.33468905
0.109359935,0.35191703,0.2028104,0.33591267
0.10636183,0.3513037,0.20290427,0.33943027
0.10620851,0.3564645,0.20548536,0.33184162
0.10539485,0.35288978,0.20628488,0.3354305
0.10371495,0.35669577,0.2051297,0.33445945
0.10667179,0.35808906,0.20087247,0.3343667
0.11332758,0.35607415,0.19641909,0.33417916
0.11152592,0.35027593,0.19854927,0.33964893
0.10998558,0.35470212,0.19999626,0.33531597
0.11093682,0.35286498,0.2010517,0.33514634
0.10903336,0.35730523,0.20055504,0.33310637
0.10759388,0.35406885,0.19847338,0.3398638
0.108245686,0.3510283,0.20386873,0.33685738
0.110145465,0.348918,0.20160525,0.33933133
0.10650819,0.3547819,0.19768968,0.34102017
0.10527346,0.35448036,0.20138751,0.33885854
0.10726182,0.351384,0.2024826,0.33887166
0.11094339,0.34864184,0.20175043,0.3386643
0.113831036,0.35239738,0.19842562,0.33534592
0.11351739,0.3576316,0.19918962,0.32966143
0.11157315,0.3541053,0.19926257,0.335059
0.11168366,0.354015,0.1993567,0.33494455
0.112768084,0.35165778,0.19177432,0.34379986
0.11128097,0.35156354,0.18594271,0.3512128
0.11465209,0.351261,0.18427962,0.34980732
0.10802864,0.35739517,0.18468538,0.34989086
0.1090374,0.3600835,0.18486565,0.34601343
0.109872945,0.35393846,0.18165876,0.35452986
0.109783135,0.35966223,0.18383005,0.34672454
0.10972865,0.36129975,0.18454182,0.34442976
0.10709315,0.36042598,0.18104789,0.351433
0.107044354,0.36607248,0.18436456,0.3425186
0.106243044,0.35837692,0.18138537,0.35399473
0.10869779,0.3532998,0.17940654,0.35859582
0.10610717,0.35849187,0.17974383,0.3556572
0.10557747,0.36420056,0.17809094,0.35213098
